LOF_ID,LOF_Country,LOF_Branch,LOF_Currency,LOF_Salary,LOF_PredictionMargin,LOF_PredictedOutlier,LOF_Outlier
1,China,3,CHY,120000,0.861482,No,No
2,U.S.A.,1,USD,49000,0.922923,No,No
3,China,3,CHY,160000,0.917718,No,No
4,U.S.A.,1,USD,16000,0.928235,No,No
5,U.S.A.,1,USD,39000,0.872409,No,No
6,U.S.A.,1,USD,45000,0.937556,No,No
7,U.S.A.,1,USD,19000,0.928467,No,No
8,China,3,CHY,150000,0.971837,No,No
9,Germany,2,EUR,99000,0.952934,No,No
10,Germany,2,EUR,36098,0.973047,No,No
11,China,3,CHY,680000,-0.942976,No,Yes
12,China,3,CHY,200000,0.912374,No,No
13,Germany,2,EUR,29000,0.98845,No,No
14,China,3,CHY,150000,0.954787,No,No
15,Germany,2,EUR,66000,0.989915,No,No
16,U.S.A.,1,USD,72000,0.95801,No,No
17,U.S.A.,1,USD,90000,0.947486,No,No
18,Germany,2,EUR,85000,0.995975,No,No
19,China,3,CHY,780000,-0.964521,No,Yes
20,Germany,2,EUR,39000,0.994134,No,No
21,Germany,2,EUR,96300,0.999571,No,No
22,U.S.A.,1,USD,20500,0.91533,No,No
23,China,3,CHY,450000,0.94651,No,No
24,Germany,2,EUR,49000,0.996975,No,No
25,Germany,2,EUR,41068,0.998035,No,No
26,Germany,2,EUR,82000,0.998035,No,No
27,Germany,2,EUR,100000,1,No,No
28,Mexico,4,MXD,59000,0.936513,No,No
29,Germany,2,EUR,54000,0.997823,No,No
30,U.S.A.,1,USD,32000,0.928102,No,No
31,Germany,2,EUR,52000,0.993128,No,No
32,Mexico,4,MXD,60000,0.968481,No,No
33,China,3,CHY,350000,0.969916,No,No
34,Mexico,4,MXD,23000,0.954311,No,No
35,Mexico,4,MXD,34000,0.971155,No,No
36,U.S.A.,1,USD,19567,0.935428,No,No
37,Germany,2,EUR,42000,0.973302,No,No
38,China,3,CHY,150000,0.97181,No,No
39,Mexico,4,INR,45999,0.377073,Yes,Yes
40,Mexico,4,MXD,29000,0.988245,No,No
41,Mexico,4,MXD,24500,0.968991,No,No
42,Mexico,4,MXD,15999,0.981593,No,No
43,U.S.A.,1,USD,27000,0.931591,No,No
44,China,3,CHY,150000,0.981722,No,No
45,China,3,CHY,150000,0.981078,No,No
46,U.S.A.,1,USD,4000,-0.975725,No,Yes
47,Mexico,4,MXD,40500,0.99595,No,No
48,Germany,2,EUR,59500,0.901112,No,No
49,Germany,2,EUR,60500999,0.999998,Yes,Yes
50,Mexico,4,MXD,18000,0.973943,No,No
51,U.S.A.,1,USD,30000,0.980675,No,No
52,China,3,CHY,150000,1,No,No
53,China,3,CHY,190000,0.999833,No,No
54,Mexico,4,MXD,39000,0.975956,No,No
55,China,3,CHY,190000,0.982346,No,No
56,U.S.A.,1,USD,67000,0.98454,No,No
57,Germany,2,EUR,49000,0.89478,No,No
58,China,3,CHY,500000,0.998702,No,No
59,Germany,2,EUR,89000,0.937777,No,No
60,U.S.A.,1,USD,32000,0.974295,No,No
61,Mexico,4,MXD,31000,0.992408,No,No
62,China,3,CHY,320000,0.994324,No,No
63,China,3,CHY,150000,0.988636,No,No
64,Mexico,4,MXD,25000,0.988522,No,No
65,Mexico,4,MXD,17800,0.991573,No,No
66,Mexico,4,MXD,34000,0.989307,No,No
67,Germany,2,EUR,60000,0.931584,No,No
68,China,3,CHY,150000,0.981654,No,No
69,Mexico,6,MXD,36000,0.431757,Yes,Yes
70,Germany,2,EUR,72000,0.943353,No,No
71,Mexico,4,MXD,75000,0.975378,No,No
72,U.S.A.,1,USD,86000,0.983314,No,No
73,U.S.A.,1,USD,100000,0.990137,No,No
74,Germany,2,EUR,37028,0.955814,No,No
75,China,3,CHY,140000,0.980059,No,No
76,Germany,2,EUR,70000,0.990771,No,No
77,U.S.A.,1,USD,22000,0.996613,No,No
78,Mexico,4,MXD,54000,0.987253,No,No
79,Mexico,4,MXD,24500,0.980131,No,No
80,Germany,2,EUR,51600,0.980556,No,No
81,Germany,2,EUR,33163,0.99218,No,No
82,U.S.A.,1,USD,21000,1,No,No
83,China,3,CHY,150000,0.975649,No,No
84,Germany,2,EUR,44785,0.957035,No,No
85,U.S.A.,1,USD,100000,0.999326,No,No
86,Mexico,4,MXD,34000,0.981538,No,No
87,Mexico,4,CHY,150000,-0.86054,Yes,No
88,China,3,CHY,890000,-0.988275,No,Yes
89,U.S.A.,1,USD,35000,1,No,No
90,China,3,CHY,150000,1,No,No
91,Germany,2,EUR,95000,0.948908,No,No
92,China,3,CHY,360000,0.987264,No,No
93,U.S.A.,1,USD,30000,0.995788,No,No
94,Mexico,4,MXD,15000,0.970097,No,No
95,China,3,CHY,150,-1,No,Yes
96,U.S.A.,1,USD,50000,0.988741,No,No
97,Mexico,4,MXD,30000,0.996957,No,No
98,U.S.A.,1,USD,80000,0.991355,No,No
99,Mexico,4,MXD,40000,1,No,No
100,U.S.A.,1,USD,62000,0.97161,No,No
101,China,3,CHY,150000,0.991617,No,No
102,China,3,CHY,240000,0.988843,No,No
103,U.S.A.,1,USD,24000,0.993366,No,No
104,U.S.A.,1,USD,32000999,-0.242307,No,Yes
105,Mexico,4,MXD,27500,0.996618,No,No
106,China,3,CHY,190000,0.98227,No,No
107,U.S.A.,1,USD,18000,0.989523,No,No
108,Germany,2,EUR,46000,0.952986,No,No
109,Mexico,4,MXD,18000,0.974954,No,No
110,China,3,CHY,150000,0.979589,No,No
111,Mexico,4,MXD,28000,0.980381,No,No
112,U.S.A.,1,USD,56000,0.991172,No,No
113,Mexico,4,MXD,46099,0.980381,No,No
114,China,3,CHY,240000,0.977822,No,No
115,Mexico,4,MXD,51000,0.970755,No,No
116,Germany,2,EUR,44638,0.963291,No,No
117,Mexico,4,MXD,70000,0.968715,No,No
118,China,3,CHY,600000,0.950144,No,No
119,U.S.A.,1,USD,31000,0.988902,No,No
120,Mexico,4,MXD,45800,0.960684,No,No
121,China,3,CHY,150500,0.945657,No,No
122,Germany,2,EUR,45000,0.958347,No,No
123,Mexico,4,MXD,36400,0.961062,No,No
124,Germany,2,EUR,89000,0.977587,No,No
125,U.S.A.,1,USD,50056,0.969589,No,No
126,U.S.A.,1,USD,36000,0.979514,No,No
127,Germany,2,EUR,100000,0.973232,No,No
128,Germany,2,EUR,70000,0.974436,No,No
129,China,3,CHY,150000,0.915203,No,No
130,U.S.A.,1,USD,26500,0.963763,No,No
131,Germany,2,EUR,38000,0.966768,No,No
132,Mexico,4,MXD,46888,0.933276,No,No
133,Japan,3,CHY,600000,0.566139,Yes,Yes
134,Germany,2,EUR,69000,0.951821,No,No
135,Mexico,4,MXD,46000,0.924298,No,No
136,Germany,2,EUR,50000,0.936698,No,No
137,Germany,2,EUR,70000,0.937977,No,No
138,U.S.A.,1,USD,39200,0.970654,No,No
139,Germany,2,EUR,95000,0.943378,No,No
140,U.S.A.,1,USD,68000,0.967612,No,No
141,Mexico,4,MXD,31000,0.928006,No,No
142,U.S.A.,1,USD,60000,0.932441,No,No
143,Germany,2,EUR,32000,0.921209,No,No
144,China,3,CHY,150000,0.913172,No,No
145,Mexico,4,MXD,28000,0.912211,No,No
146,U.S.A.,1,USD,29000,0.938586,No,No
147,Mexico,2,MXD,19999,0.580248,Yes,Yes
148,U.S.A.,1,USD,42500,0.918451,No,No
149,China,3,CHY,180000,0.830642,No,No
150,China,3,CHY,900000,-0.890862,No,Yes
